type,category,meal,source,section,ingredient,amount,units,notes
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,base,arugula,5,oz,"1 small tub"
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,base,olive oil,0.33,cup,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,base,lemon zest,1,large,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,base,water,0.25,cup,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,breadcrumbs,olive oil,1,tsp,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,breadcrumbs,anchovies,3,whole,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,breadcrumbs,garlic,2,cloves,minced
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,breadcrumbs,panko bread crumbs,1,cup,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,breadcrumbs,pepper,1,tsp,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,breadcrumbs,chili flakes,0.25,tsp,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,breadcrumbs,salt,1,pinch,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,base,orzo,1.5,cups,
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,cheese,parmesan,1,oz,"about 1/3 cup, fresh grated"
vegetarian,pasta,arugula orzo with peppery umami breadcrumbs,https://www.recipebox.com/recipe/bbb65240/🍴arugula-orzo-with-peppery-umami-breadcrumbs?editId=671e69f431b22d569e7051ae,cheese,ricotta,0.5,cup,
