type,category,meal,source,section,ingredient,amount,units,notes
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Vegetable,white onion,1,large,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Seasoning,garlic,4,cloves,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Spice,paprika,1,tsp,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Herb,oregano,1,tsp,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Herb,basil,1,tsp,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Spice,cumin,0.5,tsp,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Tomato,tomato paste,1,tbsp,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Vegetable,carrot,1,large,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Legume,black beans,1,jar,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Liquid,stock,1,cup,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Seasoning,salt,,to taste,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Seasoning,pepper,,to taste,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Bread,corn tortillas,,,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Nut,cashews,1,handful,soaked
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Seasoning,nutritional yeast,2,tbsp,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Seasoning,garlic powder,0.5,tsp,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Seasoning,onion powder,0.5,tsp,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Seasoning,salt,,to taste,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Seasoning,pepper,,to taste,
Mexican,Main Dish,Baked Black Bean Taco,Instagram/RecipeBox - https://www.instagram.com/reel/DOq7qVSDHxI/?igsh=MTV5d3piMHF0a2Y2Yg%3D%3D,Herb,coriander,1,handful,fresh
