type,category,meal,source,section,ingredient,amount,units,notes
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Rice,wild rice,0.25,cup,50 g
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Oil,olive oil,2.5,tbsp,rounded
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Rice,basmati rice,1,cup,220 g
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Liquid,boiling water,1.75,cups,330 ml
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Spice,cumin seeds,2,tsp,
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Spice,curry powder,1.5,tsp,
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Protein,cooked and drained chickpeas,1.5,cups,240 g (canned are fine)
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Oil,sunflower oil,0.75,cup,180 ml
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Vegetable,onion,1,medium,thinly sliced
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Flour,all-purpose flour,1.5,tsp,
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Dried Fruit,currants,0.5,cup,100 g
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Herb,parsley,2,tbsp,chopped flat-leaf
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Herb,cilantro,1,tbsp,chopped
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Seasoning,dill,1,tbsp,chopped
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Seasoning,salt,,,to taste - freshly ground
Middle Eastern,Side Dish,Basmati & Wild Rice with Chickpeas Currants & Herbs,Jerusalem - A Cookbook pg 106,Seasoning,black pepper,,,to taste - freshly ground
