type,category,meal,source,section,ingredient,amount,units,notes
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,guajillo chili peppers,2,items,
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,olive oil,2,T,Extra-virgin
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,produce,white onion,1,items,Finely chopped
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,produce,garlic,4,cloves,Pressed or minced
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,ground cumin,1,T,
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,tomato paste,0.5,c,
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,bay leaf,1,items,
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,pinto beans,3,cans,15 oz each - rinsed and drained
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,hominy,1,can,15 oz -rinsed and drained
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,vegetable broth,4,c,
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,water,2,c,
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,salt,0.5,tsp,To taste
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,produce,cilantro,0.25,c,Chopped
bean and lentil dishes,dinner,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,produce,lime,1,items,Halved
