type,category,meal,source,section,ingredient,amount,units,notes
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,produce,onion,1,items,Peeled and cut into 8
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,produce,mushrooms,8,oz,Washed, trimmed and cut into 4
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,bulk barn,walnut pieces,1,c,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,produce,carrots,2,items,Peeled and cut into chunks
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,produce,celery,2,ribs,Cut into chunks
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,olive oil,0.25,c,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,produce,garlic,4,cloves,Minced
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,white wine,0.25,c,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,crushed tomatoes,28,oz,Canned
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,salt,1.5,tsp,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,nutmeg,0.5,tsp,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,bay leaf,1,items,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,red lentils,0.67,c,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,water or vegetable stock,2,c,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,nutritional yeast,0.5,c,
dinner,pasta,bolgonese pasta,https://sweetpeasandsaffron.com/vegan-bolognese/,pantry,balsamic vinegar,1,T,
