type,category,meal,source,section,ingredient,amount,units,notes
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Main,butternut squash,1,large,"peeled, halved lengthwise, seeds discarded"
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Main,butternut squash,2,pounds,
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Main,extra-virgin olive oil,1,serving,
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Main,salt,1,serving,
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Main,Brussels sprouts,1,pound,"trimmed, outer leaves removed"
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Garnish,red onion,0.5,whole,"thinly sliced"
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Sauce,red wine vinegar,6,tablespoons,
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Sauce,sugar,1,tablespoon,
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Seasoning,red chili flakes,0.75,teaspoon,
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Seasoning,garlic,1,clove,"finely grated or pounded with a pinch of salt"
roast,vegetable,Roast: Butternut Squash and Brussels Sprouts in Agrodolce,Salt Fat Acide Heat pg 262,Garnish,mint,16,leaves,fresh
