type,category,meal,source,section,ingredient,amount,units,notes
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,produce,red onion,1,items,Diced into 1/2 inch squares
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,pantry,chickpeas,2,cans,Drained and washed
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,produce,garlic,7,cloves,Minced
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,produce,cherry tomatoes,700,g,Halved
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,produce,frozen vegetables,1,bag,Broccoli/cauliflower/carrots
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,pantry,sunflower oil,1,c,For cooking
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,produce,ginger,1,items,Julienned for garnish
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,produce,cilantro,1,items,For garnish
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,pantry,chana masala spice mix,1,packet,MDH brand
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,pantry,water,800,ml,Lukewarm
dinner,bean and lentil dishes,chana masala,Obsidian Recipe Database Noah,pantry,baking soda,0.5,tsp,
