type,category,meal,source,section,ingredient,amount,units,notes
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,produce,shallots,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,produce,corn,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,produce,serrano peppers,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,produce,garlic,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,produce,ginger,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,produce,orange,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,produce,cilantro,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,produce,lime,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,pantry,various spices,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,pantry,coconut milk,1,items,
dinner,light veg dishes,corn soup,Obsidian Recipe Database Noah,pantry,broth,1,items,Vegan
