type,category,meal,source,section,ingredient,amount,units,notes
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,vegetables,Brussels sprouts,1,enough,halved
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,seasoning,lemon zest,1,lemon,
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,seasoning,extra virgin olive oil,3,tablespoons,"45 ml, 2 tbsp for Brussels sprouts, 1 tbsp for gnocchi"
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,seasoning,salt,1,pinch,to taste
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,seasoning,pepper,1,pinch,to taste
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,seasoning,red pepper flakes,1,pinch,to taste
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,main,potato gnocchi,1,package,"about 450 g"
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,sauce,unsalted butter,4,tablespoons,55 g
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,sauce,honey,1,tablespoon,15 ml
side dish,dinner,Crispy Gnocchi Brussel Sprouts,https://www.instagram.com/p/DPw5vG0ks8K/,garnish,Parmesan cheese,1,handful,for serving
