type,category,meal,source,section,ingredient,amount,units,notes
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,shallot,1,whole,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,garlic,1,clove,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,avocado,1,whole,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,spinach,150,g,"fresh or frozen"
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,pistachios,100,g,toasted
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,basil,30,g,fresh
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,nutritional yeast,2,tbsp,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,silken tofu,1,block,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,miso paste,1,tsp,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,lemon,1,whole,juiced
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,extra virgin olive oil,1,tbsp,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,salt,,to taste,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,pepper,,to taste,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Dressing,water,,,to loosen if required
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Salad,green cabbage,0.5,head,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Salad,cucumber,1,large,
Vegan,Salad,Green Goddess Salad,Recipe Box: Green Goddess Salad,Salad,spring onions,1,bunch,
