type,category,meal,source,section,ingredient,amount,units,notes
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,base,kosher salt,1,pinch,
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,pasta,orzo,1,cup,
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,vegetables,corn,3,ears,husks removed
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,vegetables,scallions,1,bunch,about 8 scallions
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,seasoning,avocado oil,2,teaspoons,
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,seasoning,garlic cloves,5,whole,
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,dressing,lemon zest,1,whole,from 1 medium lemon
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,dressing,lemon juice,1,whole,from 1 medium lemon
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,dressing,white wine vinegar,1,tablespoon,
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,dressing,extra virgin olive oil,0.25,cup,
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,dressing,miso paste,1,teaspoon,yellow or white
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,herbs,fresh dill,0.25,cup,thick stems removed
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,herbs,fresh oregano leaves,1,tablespoon,
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,protein,frozen edamame,12,ounces,thawed or cooked
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,vegetables,marinated artichoke hearts,0.33,cup,roughly chopped
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,greens,baby arugula,3,cups,
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,seasoning,red pepper flakes,0.25,teaspoon,optional
side dish,dinner,Grilled Corn Orzo Salad with Scallion Dill Dressing,https://www.instagram.com/p/DLBdJ5-Mnsy/,garnish,vegan parmesan,1,pinch,optional
