type,category,meal,source,section,ingredient,amount,units,notes
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,unsalted butter,160,grams,soft
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,granulated sugar,200,grams,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,fine sea salt,0.5,teaspoon,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,vanilla extract,1,teaspoon,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,almond extract,0.25,teaspoon,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,eggs,4,whole - large, room temperature
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,almond flour,100,grams,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,all-purpose flour,120,grams,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,cake,baking powder,1.5,teaspoons,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,raspberries,raspberries,340,grams,fresh or frozen
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,ganache,dark chocolate,160,grams,60-75% cocoa
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,ganache,heavy cream,180,grams,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,ganache,unsalted butter,50,grams,soft
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,buttercream,egg whites,6,whole,large
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,buttercream,granulated sugar,300,grams,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,buttercream,fine sea salt,0.25,teaspoon,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,buttercream,unsalted butter,450,grams,soft
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,buttercream,hazelnut butter,180,grams,
dessert,dinner,Hazelnut Raspberry Cake,https://redcurrantbakery.com/hazelnut-raspberry-cake/,buttercream,vanilla bean paste,1,teaspoon,
