type,category,meal,source,section,ingredient,amount,units,notes
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Tofu,Tofu block,1,block,firm
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Tofu,Salt,1,pinch,top side only
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Oil,Neutral oil,,cup,for frying
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Sauce,Water,0.25,cup,
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Sauce,Corn syrup,1,tbsp,
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Sauce,Plum extract,1,tbsp,
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Sauce,Sesame oil,1,tsp,
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Sauce,Soy sauce,2,tbsp,
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Sauce,Fish sauce,1,tbsp,
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Sauce,Garlic,1,tbsp,minced
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Sauce,Gochugaru,1,tbsp,Korean red pepper flakes
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Garnish,Green jalapeño,1,pepper,chopped
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Garnish,Red Fresno pepper,1,pepper,chopped
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Garnish,Green onions,2,tbsp,chopped
Korean,Side Dish,Korean Spicy Braised Tofu (Dubu Jorim),https://ahnestkitchen.com/food/korean-spicy-braised-tofu,Garnish,Black pepper,,,
