type,category,meal,source,section,ingredient,amount,units,notes
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,produce,onion,1,items,Or 2 shallots
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,produce,mushrooms,1,items,Or 1 head of asparagus
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,pantry,dry white wine,0.5,c,
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,pantry,arborio rice,1.5,c,
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,dairy,butter,4,T,
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,dairy,parmesan cheese,0.5,c,
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,pantry,broth,4,c,Chicken or vegetable
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,produce,garlic,1,items,To personal taste
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,pantry,olive oil,1,T,For sautéing
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,pantry,salt,1,tsp,To taste
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,pantry,saffron,1,pinch,Optional
dinner,pasta,mushroom risotto,Obsidian Recipe Database Noah,pantry,black pepper,1,tsp,For serving
