type,category,meal,source,section,ingredient,amount,units,notes
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Dairy,Greek yogurt,0.9,cup,200 g
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Dairy,yogurt and milk,2,tbsp,200 ml whole milk
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Liquid,buttermilk,400,ml,replacing both yogurt and milk
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Bread,Turkish flatbread,2,large stale,250 g in total
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Vegetable,tomatoes,3,large,380 g in total - cut into 1/2-inch dice
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Vegetable,radishes,100,g, thinly sliced
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Vegetable,cucumbers,3,Lebanese or mini,250 g in total - peeled and chopped
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Vegetable,green onions,2,whole,thinly sliced
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Herb,fresh mint,0.5,oz,15 g
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Herb,flat-leaf parsley,25,g, coarsely chopped
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Herb,dried mint,1,tbsp,
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Seasoning,garlic,2,cloves,crushed
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Acid,lemon juice,2,tbsp,freshly squeezed
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Oil,olive oil,0.25,cup,60 ml plus extra to drizzle
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Acid,white wine vinegar,2,tbsp,
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Spice,black pepper,0.75,tsp,freshly ground
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Seasoning,salt,1.5,tsp,
Middle Eastern,Salad,Na'ama's Fattoush,Jerusalem - A Cookbook pg. 29,Spice,sumac,1,tbsp,or more to garnish
