type,category,meal,source,section,ingredient,amount,units,notes,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,fettuccine,300,g,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,olive oil,1,tbsp,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,red onion,0.5,whole,chopped,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,garlic,3,cloves,roughly chopped,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,cashews,0.25,cup,40g, soaked in hot water for 30 mins
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,vegan feta,50,g,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,aji amarillo paste,0.25,cup,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,turmeric,0.125,tsp,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,nutritional yeast,3,tbsp,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,salt,0.5,tsp,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,black pepper,1,pinch,to taste,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,water,1,cup,to blend,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Pasta,pasta water,0.25,cup,reserved,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Mushroom Saltado,olive oil,1,tbsp,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Mushroom Saltado,red onion,0.5,whole,sliced into thick wedges,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Mushroom Saltado,mushrooms,227,g,8oz, sliced
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Mushroom Saltado,roma tomatoes,2,whole,sliced into thick wedges,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Mushroom Saltado,soy sauce,2,tbsp,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Mushroom Saltado,red wine vinegar,1,tbsp,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Mushroom Saltado,vegan oyster sauce,1,tbsp,,
dinner,pasta,Pasta a la Huancaina,Instagram Reel -> Recipe Box,Mushroom Saltado,black pepper,1,pinch,to taste,
