type,category,meal,source,section,ingredient,amount,units,notes
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Sauce,Extra Virgin Olive Oil,0.25,cup,Nocellara Italian EVOO recommended
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Sauce,Anchovy Fillets,6,fillets,4 for milder flavor - 8 for more umami
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Sauce,Red Pepper Flakes,1,teaspoon,Optional
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Sauce,Garlic,5,cloves,Large cloves - minced
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Sauce,San Marzano Tomatoes,1,can,28-ounce can - whole peeled
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Sauce,Kalamata Olives,0.5,cup,Pitted - sliced
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Sauce,Capers,1.5,tablespoons,
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Sauce,Dried Oregano,2,teaspoons,
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Pasta,Spaghetti,0.75,pound,
Pasta,Dinner,Pasta Puttanesca,https://www.themediterraneandish.com/pasta-puttanesca/,Garnish,Fresh Parsley,0.5,cup,Chopped
