type,category,meal,source,section,ingredient,amount,units,notes
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,olive oil,1,T,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,yellow onion,1,items,Chopped small
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,garlic,5,cloves,Minced
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,ginger,1,T,Peeled and grated
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,garam masala,1,T,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,ground turmeric,1,tsp,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,red pepper chili flakes,0.5,tsp,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,red lentils,1.5,c,Dried
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,diced tomatoes,14,oz,Canned
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,coconut milk,13.5,oz,Full fat - canned
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,vegetable broth,3,c,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,salt,1,tsp,To taste
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,lemon,0.5,items,Juiced
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,baby spinach,3,c,
