type,category,meal,source,section,ingredient,amount,units,notes
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Dressing,rice vinegar,0.25,cup,
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Dressing,tamari,2,tablespoons,plus more for serving
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Dressing,toasted sesame oil,0.5,teaspoon,plus more for serving
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Dressing,fresh ginger,1,teaspoon,grated
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Dressing,garlic clove,1,whole,grated
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Dressing,maple syrup,0.5,teaspoon,or honey
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Soba Noodles,soba noodles,6,ounces,
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Soba Noodles,lemon,1,wedge,for squeezing
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Soba Noodles,avocados,2,whole,sliced
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Soba Noodles,snap peas,2,cups,blanched
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Soba Noodles,edamame,0.25,cup,
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Soba Noodles,watermelon radish,1,whole,very thinly sliced (or 2 red radishes)
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Soba Noodles,fresh mint leaves,0.25,cup,
dinner,main,BuckWheat Noodles with Sesame Dressing,https://www.loveandlemons.com/sesame-soba-noodles/,Garnish,sesame seeds,1,items,to sprinkle
