type,category,meal,source,section,ingredient,amount,units,notes
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Oil,olive oil,2,tbsp,
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Spice Paste,Pilpelchuma,2,tbsp,"(page 302) or harissa"
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Tomato,tomato paste,2,tsp,
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Pepper,red peppers,2,large,"cut into 1/4-inch / 0.5cm dice"
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Garlic,garlic,4,cloves,chopped
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Spice,ground cumin,1,tsp,
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Tomato,ripe tomatoes,5,large,"chopped (5 cups / 800 g in total)"
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Egg,free-range eggs,4,large,
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Egg,egg yolks,4,whole,
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Dairy,labneh,0.5,cup,"(store-bought or see recipe, page 302)"
Middle Eastern,Main Dish,Shakshuka,Jerusalem - A Cookbook pg 66,Seasoning,salt,,,to taste
