type,category,meal,source,section,ingredient,amount,units,notes
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,produce,yukon gold potatoes,1.5,lbs,Baby potatoes, scrubbed
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,pantry,kosher salt,1,tsp,To taste
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,pantry,bacon,6,slices,Thick cut (about 10 oz)
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,dairy,greek yogurt,0.5,c,Or sour cream
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,pantry,mayonnaise,0.25,c,
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,pantry,dijon mustard,1,tsp,
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,produce,celery,2,stalks,Finely chopped
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,pantry,peperoncinis,0.25,c,Chopped
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,pantry,peperoncini brine,3,T,
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,produce,dill,0.25,c,Fresh, chopped
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,produce,scallions,4,items,Thinly sliced
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,market,smoked mackerel,2,tins,4 oz each, drained
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,pantry,olive oil,1,T,For roasting potatoes
dinner,light veg dishes,smashed potato & peperoncini salad with smoked mackerel,Obsidian Recipe Database Noah,pantry,black pepper,1,tsp,To taste
