type,category,meal,source,section,ingredient,amount,units,notes,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Salad,dry orzo,1,cup,,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Salad,asparagus,9,spears,woody ends removed chopped into 1 inch segments,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Salad,sugar snap peas,0.75,cup,thinly sliced,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Salad,French breakfast radishes,4,whole,julienned,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Salad,green onions,3,whole,thinly sliced,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Salad,parsley,1,handful,finely chopped,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Salad,pistachios,0.25,cup,toasted finely chopped,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Salad,feta,0.5,cup,plant-based if needed,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Lemon Vinaigrette,lemon juice,0.25,cup,from 1 medium lemon,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Lemon Vinaigrette,olive oil,0.25,cup,,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Lemon Vinaigrette,honey,0.5,tbsp,or maple syrup,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Lemon Vinaigrette,Dijon mustard,0.5,tbsp,,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Lemon Vinaigrette,salt,0.5,tsp,,
dinner,salad,Spring Orzo Salad,Fresh off the Stack,Lemon Vinaigrette,black pepper,1,pinch,to taste,
