type,category,meal,source,section,ingredient,amount,units,notes
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,olive oil,0.25,c,
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,produce,yellow onion,1,items,Diced
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,produce,garlic,4,cloves,Minced
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,ginger powder,1,tsp,
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,nutmeg,0.5,tsp,Grated
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,cumin,0.5,tsp,
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,cinnamon,0.25,tsp,
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,kosher salt,0.5,tsp,To start
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,gochujang,2,T,Depending on heat tolerance
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,sweet potato puree,15,oz,Canned
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,produce,sage,2,T,Chopped
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,dairy,unsalted butter,2,T,
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,brown sugar,1,T,
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,oat milk,0.33,c,Or heavy cream
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,bourbon,2,T,Optional
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,pasta water,0.5,c,Reserved
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,pasta,8,oz,Bucatini or fettuccine
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,dairy,parmigiano reggiano,1,items,For garnish
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,produce,sage,1,items,For garnish
dinner,pasta,sweet potato gochujang pasta,https://www.instagram.com/reel/Cj28c5epLk-/,pantry,black pepper,1,tsp,Freshly cracked, for garnish
